dataset,selector,accuracy,train_transform_time_s,feature_selection_time_s,training_time_s,test_transform_time_s,inference_time_s,total_time_s,retained_features,memory_delta_mb,status,error
CinCECGTorso,random,0.8927536231884058,5.865051100030541,0.00039840000681579113,0.0033708999399095774,413.0391448000446,0.0032184000592678785,422.03537270007655,500,361.43359375,ok,
Coffee,chi2,1.0,0.6304558999836445,0.04002099996432662,0.003260500030592084,0.6382424999028444,0.00034300005063414574,4.012957599945366,500,52.02734375,ok,
Coffee,anova_f,1.0,0.6357925999909639,0.021511400118470192,0.003985899966210127,0.6419637999497354,0.000282699940726161,3.990979199996218,500,51.453125,ok,
Coffee,mutual_info,1.0,0.6392645000014454,32.86897729989141,0.0025804999750107527,0.6390203000046313,0.00033579999580979347,36.89476029993966,500,51.33984375,ok,
Coffee,random,1.0,0.6320716999471188,0.00035149999894201756,0.004146300023421645,0.6321143999230117,0.0002778999041765928,3.9987403999548405,500,49.42578125,ok,
Computers,chi2,0.744,14.07758260006085,0.05751590011641383,0.023842399939894676,36.339263199828565,0.0008089998736977577,53.17869650013745,500,155.46875,ok,
Computers,anova_f,0.732,14.524915599962696,0.08863879996351898,0.020797800039872527,14.398699400015175,0.00043700006790459156,31.682016500039026,500,149.81640625,ok,
Computers,mutual_info,0.776,15.098582899896428,44.262379799969494,0.024508000118657947,14.512256000190973,0.00048690009862184525,76.5668474000413,500,149.58203125,ok,
Computers,random,0.744,15.007727799937129,0.0019002999179065228,0.02257189992815256,14.68156240019016,0.0007620002143085003,32.43099780008197,500,150.09765625,ok,
CricketX,chi2,0.4897435897435897,9.731534299906343,0.04320349986664951,0.05776769993826747,9.364946499932557,0.0008642000611871481,22.119593900162727,500,215.9140625,ok,
CricketX,anova_f,0.4205128205128205,9.324140999931842,0.11729389987885952,0.0636720999609679,9.272415300132707,0.0008830002043396235,21.454396599903703,500,221.83203125,ok,
CricketX,mutual_info,0.5564102564102564,9.21329479990527,197.77289869985543,0.053000800078734756,9.190215599955991,0.0008944000583142042,218.93273270013742,500,220.00390625,ok,
CricketX,random,0.7487179487179487,9.438001699978486,0.0029225999023765326,0.058734900085255504,9.376686099916697,0.000991299981251359,21.56892119999975,500,217.015625,ok,
CricketY,chi2,0.6538461538461539,9.383424100000411,0.04359619994647801,0.05697609996423125,9.334924399852753,0.0008870998863130808,21.4796394999139,500,216.40625,ok,
CricketY,anova_f,0.6974358974358974,9.238842900143936,0.12322000018320978,0.05801919987425208,9.245982599910349,0.0007807000074535608,21.37739669997245,500,221.796875,ok,
CricketY,mutual_info,0.7205128205128205,10.275723000057042,192.50085190008394,0.0697595002129674,9.778236999874935,0.0014051999896764755,215.30564649985172,500,216.73046875,ok,
CricketY,random,0.7794871794871795,9.525025900220498,0.0034174001775681973,0.07277429988607764,9.6008681000676,0.001327600097283721,21.987455599941313,500,214.921875,ok,
CricketZ,chi2,0.5102564102564102,9.646976700052619,0.04391109989956021,0.06527770007960498,9.539756400045007,0.0010627999436110258,22.101933100027964,500,216.69921875,ok,
CricketZ,anova_f,0.4230769230769231,10.104913600021973,0.12854199996218085,0.06455059978179634,10.317891700193286,0.0008028000593185425,23.392882300075144,500,220.6484375,ok,
CricketZ,mutual_info,0.43333333333333335,9.68540529999882,203.8648875001818,0.0694331000559032,10.397301099961624,0.0014241000171750784,226.81542739993893,500,219.609375,ok,
CricketZ,random,0.8,10.498019099934027,0.0032392998691648245,0.07135109999217093,10.281725199893117,0.0008159999269992113,23.77547309990041,500,215.2890625,ok,
DiatomSizeReduction,chi2,0.9738562091503268,0.4572665998712182,0.01596119999885559,0.0026181999128311872,9.022991700097919,0.0007100000511854887,12.243276299908757,500,109.32421875,ok,
DiatomSizeReduction,anova_f,0.9575163398692811,0.46271480014547706,0.014617000008001924,0.002670799847692251,9.069700400112197,0.0007327999919652939,12.324484900105745,500,114.05859375,ok,
DiatomSizeReduction,mutual_info,0.9575163398692811,0.46012329985387623,821.0778016000986,0.006275799823924899,8.66974200005643,0.0007693001534789801,833.0052854001988,500,107.76171875,ok,
DiatomSizeReduction,random,0.9705882352941176,1.7770453998818994,0.0005269001703709364,0.006801299983635545,35.58231450011954,0.0018162999767810106,44.22633589990437,500,106.40234375,ok,
DistalPhalanxOutlineCorrect,chi2,0.7282608695652174,4.05451750010252,0.0713990000076592,0.14993879990652204,1.983394900104031,0.0007050000131130219,8.756661599967629,500,246.640625,ok,
DistalPhalanxOutlineCorrect,anova_f,0.782608695652174,3.6664823999162763,0.24136860016733408,0.12926509999670088,1.741470699897036,0.00043969997204840183,8.146332999924198,500,242.83984375,ok,
DistalPhalanxOutlineCorrect,mutual_info,0.7717391304347826,3.8686074998695403,87.31187550001778,0.11275980016216636,1.8253115999978036,0.00043509993702173233,95.59796990011819,500,239.3984375,ok,
DistalPhalanxOutlineCorrect,random,0.75,4.082898600026965,0.00510259997099638,0.11795550002716482,1.8401832999661565,0.00042010005563497543,8.518435300095007,500,239.55859375,ok,
DistalPhalanxOutlineAgeGroup,chi2,0.7697841726618705,3.06780149997212,0.05109179997816682,0.08904900006018579,1.3433784998487681,0.0004749000072479248,7.2235192998778075,500,166.19921875,ok,
DistalPhalanxOutlineAgeGroup,anova_f,0.762589928057554,4.374501500045881,0.16657939995639026,0.07627510000020266,1.317763099912554,0.0005222000181674957,9.066684099845588,500,167.34765625,ok,
DistalPhalanxOutlineAgeGroup,mutual_info,0.7338129496402878,8.16194329992868,121.53236860013567,0.05487400013953447,0.8260766000021249,0.0003334998618811369,134.57122600008734,500,165.76953125,ok,
DistalPhalanxOutlineAgeGroup,random,0.762589928057554,6.341054599964991,0.0031202000100165606,0.06881240010261536,0.9131422000937164,0.0003692000173032284,11.302716600010172,500,163.515625,ok,
