dataset,selector,accuracy,train_transform_time_s,feature_selection_time_s,training_time_s,test_transform_time_s,inference_time_s,total_time_s,retained_features,memory_delta_mb,status,error
BirdChicken,random,0.8,0.7920584001112729,0.0002619000151753,0.0026231000665575,0.8065566001459956,0.000359599944204,4.305267800111324,500.0,46.74609375,ok,
Car,anova_f,0.8833333333333333,2.363025699974969,0.0725118999835103,0.0030664000660181,2.351949000032618,0.000838000094518,7.189463700167835,500.0,66.328125,ok,
Car,mutual_info,0.9,7.602396300062537,114.61627610004508,0.0049749000463634,8.184401399921626,0.0003936998546123,136.07179259997793,500.0,65.6953125,ok,
Car,random,0.8833333333333333,11.370130100054666,0.0006227998528629,0.0065502999350428,10.579085299978033,0.0004164001438766,28.113088799873367,500.0,63.40625,ok,
CBF,anova_f,1.0,0.850231199990958,0.0211640999186784,0.0034457999281585,20.50691180001013,0.0015785999130457,25.17049470008351,500.0,251.98046875,ok,
CBF,mutual_info,0.9955555555555556,0.294878999935463,41.12780760019086,0.0025629000738263,9.445637499913571,0.001480400096625,55.71166520006955,500.0,251.859375,ok,
CBF,random,0.9955555555555556,0.3086149001028389,0.0003154999576508,0.0033529000356793,9.315126199973747,0.0012560000177472,12.182206499855964,500.0,248.890625,ok,
ChlorineConcentration,anova_f,0.609375,5.378032699925825,0.1263462000060826,0.0732595999725163,76.88201220007613,0.0037595999892801,84.7098250000272,500.0,1045.03515625,ok,
ChlorineConcentration,mutual_info,0.6744791666666666,6.107454000040889,111.3685413999483,0.1008423001039773,58.92518480005674,0.0038949998561292,178.7479006999638,500.0,1041.03515625,ok,
ChlorineConcentration,random,0.6020833333333333,7.1497843998949975,0.0034999998752027,0.08514149999246,117.5023644999601,0.0030258998740464,127.3132789998781,500.0,1040.81640625,ok,
CinCECGTorso,anova_f,0.9521739130434784,17.52916939998977,0.0355236001778394,0.0048490001354366,531.4722587999422,0.0027765000704675,553.5647223999258,500.0,368.37109375,ok,
CinCECGTorso,mutual_info,0.9637681159420288,24.403220399981365,482.3551519000903,0.0080210000742226,424.4819885999896,0.00229959981516,938.4448490000796,500.0,365.9296875,ok,
CinCECGTorso,random,0.8927536231884058,5.865051100030541,0.0003984000068157,0.0033708999399095,413.0391448000446,0.0032184000592678,422.03537270007655,500.0,361.43359375,ok,
Coffee,anova_f,1.0,0.6357925999909639,0.0215114001184701,0.0039858999662101,0.6419637999497354,0.0002826999407261,3.990979199996218,500.0,51.453125,ok,
Coffee,mutual_info,1.0,0.6392645000014454,32.86897729989141,0.0025804999750107,0.6390203000046313,0.0003357999958097,36.89476029993966,500.0,51.33984375,ok,
Coffee,random,1.0,0.6320716999471188,0.000351499998942,0.0041463000234216,0.6321143999230117,0.0002778999041765,3.998740399954841,500.0,49.42578125,ok,
Computers,anova_f,0.732,14.524915599962696,0.0886387999635189,0.0207978000398725,14.398699400015175,0.0004370000679045,31.682016500039023,500.0,149.81640625,ok,
Computers,mutual_info,0.776,15.098582899896428,44.26237979996949,0.0245080001186579,14.512256000190972,0.0004869000986218,76.5668474000413,500.0,149.58203125,ok,
Computers,random,0.744,15.007727799937127,0.0019002999179065,0.0225718999281525,14.68156240019016,0.0007620002143085,32.43099780008197,500.0,150.09765625,ok,
CricketX,anova_f,0.4205128205128205,9.324140999931842,0.1172938998788595,0.0636720999609679,9.272415300132709,0.0008830002043396,21.454396599903703,500.0,221.83203125,ok,
CricketX,mutual_info,0.5564102564102564,9.21329479990527,197.77289869985543,0.0530008000787347,9.190215599955993,0.0008944000583142,218.93273270013745,500.0,220.00390625,ok,
CricketX,random,0.7487179487179487,9.438001699978486,0.0029225999023765,0.0587349000852555,9.376686099916697,0.0009912999812513,21.56892119999975,500.0,217.015625,ok,
CricketY,anova_f,0.6974358974358974,9.238842900143936,0.1232200001832097,0.058019199874252,9.245982599910349,0.0007807000074535,21.37739669997245,500.0,221.796875,ok,
CricketY,mutual_info,0.7205128205128205,10.275723000057042,192.50085190008397,0.0697595002129674,9.778236999874936,0.0014051999896764,215.3056464998517,500.0,216.73046875,ok,
CricketY,random,0.7794871794871795,9.525025900220498,0.0034174001775681,0.0727742998860776,9.6008681000676,0.0013276000972837,21.987455599941317,500.0,214.921875,ok,
CricketZ,anova_f,0.4230769230769231,10.104913600021971,0.1285419999621808,0.0645505997817963,10.317891700193286,0.0008028000593185,23.392882300075144,500.0,220.6484375,ok,
CricketZ,mutual_info,0.4333333333333333,9.68540529999882,203.8648875001818,0.0694331000559032,10.397301099961624,0.001424100017175,226.81542739993893,500.0,219.609375,ok,
